,0
0,Arkansas
1,Connecticut
2,Delaware
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Massachusetts
9,Minnesota
10,Montana
11,Nebraska
12,New Hampshire
13,Oregon
14,Rhode Island
15,Vermont
16,Washington
17,Wisconsin
18,Wyoming
